,Category,Installs,Rating,Size
0,ART_AND_DESIGN,1912893,4.358064516129031,12370.967741935483
1,AUTO_AND_VEHICLES,625061,4.190410958904111,20037.146666666667
2,BEAUTY,513151,4.278571428571427,13795.744680851063
3,BOOKS_AND_REFERENCE,8318050,4.346067415730339,13310.822335025381
4,BUSINESS,2178075,4.121452145214523,14472.1625
5,COMICS,934769,4.155172413793104,13485.35294117647
6,COMMUNICATION,84359886,4.15853658536585,11766.705660377358
7,DATING,1129533,3.9707692307692293,16625.556603773584
8,EDUCATION,5586230,4.389032258064516,20790.828828828828
9,ENTERTAINMENT,19256107,4.126174496644296,21853.333333333332
10,EVENTS,249580,4.435555555555555,13963.754385964912
11,FINANCE,2395215,4.13188854489164,17928.5667752443
12,FOOD_AND_DRINK,2156683,4.166972477064222,22185.0
13,HEALTH_AND_FITNESS,4642441,4.277104377104377,22769.21212121212
14,HOUSE_AND_HOME,1917187,4.197368421052633,15978.764705882353
15,LIBRARIES_AND_DEMO,741128,4.178461538461539,11083.335365853658
16,LIFESTYLE,1407443,4.094904458598721,14754.498550724638
17,GAME,30669601,4.286326344576113,44370.098522167485
18,FAMILY,5204598,4.192272467086439,28319.25054585153
19,MEDICAL,115026,4.189142857142855,19629.039170506912
20,SOCIAL,47694467,4.255598455598458,17681.871428571427
21,SHOPPING,12491726,4.259663865546222,16175.427860696518
22,PHOTOGRAPHY,30114172,4.192113564668769,17367.665354330707
23,SPORTS,4560350,4.223510971786833,24339.012861736333
24,TRAVEL_AND_LOCAL,26623593,4.1092920353982345,24654.494791666668
25,TOOLS,13585731,4.047411444141692,8771.250338294993
26,PERSONALIZATION,5932384,4.335987261146498,11298.149295774649
27,PRODUCTIVITY,33434177,4.211396011396011,12981.415841584158
28,PARENTING,525351,4.299999999999999,22512.962962962964
29,WEATHER,5196347,4.244,13124.245614035088
30,MAPS_AND_NAVIGATION,5286729,4.051612903225807,16614.712962962964
31,NEWS_AND_MAGAZINES,26488755,4.1321888412017165,13023.648148148148
32,VIDEO_PLAYERS,35554301,4.063750000000001,16084.580152671755
